GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "25000","Massachusetts",1,SQGDP2,1,"...","All industry total ","Millions of current dollars",334948.8,337902.7,343527.5,346172.1,352132.1,357016.3,357820.4,366704.4,370102.8,374820.5,381214.6,385804.4,388216.6,390574.6,388092.8,384809.7,386559.5,386365.6,389523.6,393406.8,399378.6,407111.7,414626.0,415963.6,412484.1,427092.9,423746.7,431415.8,435069.8,441407.0,444621.9,444396.9,447000.3,448732.7,454854.4,459734.1,457927.1,463978.2,474282.6,483111.7,489107.5,497348.2,499009.4,505602.8,506097.5,512379.4,518874.1,519081.1,520552.5,525711.5,533293.6,540960.2,550614.3,558443.4,562943.3,566419.1,576212.5,583353.9,593435.4,599276.3,603984.4,554926.9,598506.0,614004.9,624243.4,643143.2,660879.2,672969.3,676620.5,689759.3,697361.7,721550.7,722059.8,731611.2,743456.9,754341.7,763972.5,777582.3,786043.2,786495.8,799488.8,813670.2,828256.7,839003.8
 "25000","Massachusetts",1,SQGDP2,2,"..."," Private industries ","Millions of current dollars",298395.0,301345.4,306309.2,308044.7,314190.0,318164.2,318478.1,326719.6,329571.0,333268.4,339231.3,343195.8,345083.3,347284.0,344449.6,340019.9,342513.7,341530.5,344829.3,348279.8,355171.9,361919.6,369406.2,369285.7,365253.3,378107.5,374706.8,383486.5,387709.8,395219.4,397821.6,397813.0,399172.0,400506.8,406222.6,410762.4,408406.8,414396.5,423602.8,432487.3,437609.0,446259.9,446586.5,453080.4,454665.0,460167.1,467101.6,466566.8,468024.4,472279.1,479881.1,486362.8,495556.6,502646.1,506664.3,509153.0,519425.7,526509.4,535973.8,541367.0,545980.3,498138.5,541612.9,555575.3,567447.7,584900.9,602117.8,612695.0,618292.5,629269.8,636245.6,661112.8,660282.4,670212.8,679940.2,689561.6,697767.6,711003.1,718285.3,718231.4,730354.9,744067.7,758123.0,768311.1
 "25000","Massachusetts",1,SQGDP2,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of current dollars",712.9,729.6,878.8,991.5,979.8,942.6,992.2,1118.7,860.2,1007.4,970.2,983.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),919.5,982.8,965.3,923.4,817.9,799.0,777.8,749.4,831.8,815.4,849.4,845.6,793.2,755.1,791.7,827.7,822.8,828.0,851.6,855.3,780.3,803.0,852.4,888.2,894.6,879.0,908.9,863.8,781.7,784.3,840.2,914.9,885.6,883.1,1000.2,1031.7,1186.1,1084.5,1081.5,1164.4,902.7,958.4,922.0,882.9,911.0,893.3,887.0,928.5,883.9,870.8,799.2,782.2
 "25000","Massachusetts",1,SQGDP2,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of current dollars",138.5,144.2,127.8,142.3,136.9,141.1,169.8,194.8,241.8,271.4,253.3,218.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),161.8,158.9,166.7,159.7,170.9,179.8,185.7,195.8,155.8,200.8,226.2,242.7,247.0,263.8,264.2,250.7,219.8,198.5,175.5,181.5,172.0,177.1,185.1,189.8,205.8,222.2,225.6,261.1,209.2,138.6,163.8,148.6,140.6,137.2,137.1,128.5,119.9,135.1,124.3,126.7,143.5,169.4,217.3,253.0,257.1,290.0,289.5,295.4,313.7,277.8,279.2,278.7
 "25000","Massachusetts",1,SQGDP2,10,"22","   Utilities ","Millions of current dollars",3588.9,3412.0,3481.9,3803.2,4632.6,4774.8,4858.2,4788.5,5152.7,4985.8,5049.0,4489.5,5132.6,5614.2,6105.4,6451.9,4940.9,4753.7,4852.2,4661.3,5776.0,5939.4,5374.6,5024.3,5278.2,5656.1,5598.3,5969.8,4987.6,5380.1,5346.8,5749.0,6263.2,5807.8,5821.0,5627.9,5823.3,5912.6,6140.6,6620.3,6257.7,6276.6,6491.9,6074.5,5832.1,5810.3,5938.6,6064.8,6349.4,7263.6,6841.0,7329.7,7864.3,7696.4,7165.0,7469.2,8213.3,8087.5,8304.5,7918.7,9647.4,9112.5,10499.4,10234.9,12798.3,12749.2,13207.2,13982.5,11999.5,14117.2,14026.0,14719.8,12716.4,12620.5,12398.3,12031.0,12077.0,12318.1,11813.7,11764.8,11834.7,12033.6,12373.5,12520.3
 "25000","Massachusetts",1,SQGDP2,11,"23","   Construction ","Millions of current dollars",14450.4,14827.6,15274.9,15229.8,15562.2,15294.6,14931.1,14781.6,15043.8,15332.5,15244.6,14735.9,14043.3,14064.5,13933.1,13921.3,13118.2,12829.1,12559.2,12160.5,11869.9,12142.6,12209.3,12087.9,11902.0,12553.3,12660.5,13194.5,13479.4,13597.2,13762.2,14062.9,14369.9,14733.2,15078.1,15170.2,15322.4,15525.0,15968.7,16299.1,16685.6,17488.1,17997.8,18372.6,18831.5,18945.5,18975.3,19912.1,20210.9,20551.6,21205.6,21515.9,21740.0,22250.2,22212.2,22643.7,23825.2,23770.8,23930.6,24071.5,25070.9,20385.9,23875.9,23858.9,25031.8,24795.0,25000.2,25036.7,26589.8,26379.5,26193.8,28166.1,27786.5,28443.0,28819.9,29492.2,29688.5,29870.7,29998.3,30002.3,30696.4,31061.3,31245.6,31151.5
 "25000","Massachusetts",1,SQGDP2,12,"31-33","   Manufacturing ","Millions of current dollars",38588.5,37419.3,38287.5,39263.6,40001.9,40964.2,40938.5,41622.6,43397.8,44549.0,45129.9,46493.3,42792.2,42312.4,41913.1,40244.1,40148.2,39645.5,40177.9,41665.3,42591.8,43637.4,45418.5,45911.4,44254.9,45912.1,42880.9,44840.5,45149.2,46150.7,45913.9,45529.4,44435.2,44698.6,45979.0,46162.4,45843.4,46442.1,48009.0,49066.8,50006.3,49938.7,49108.2,48810.9,48447.1,48116.5,49966.2,46494.4,46180.4,46030.3,46255.5,47702.7,49284.4,49900.7,49603.3,49813.3,48736.4,49000.0,49842.8,49988.2,50178.6,45608.1,50751.0,50709.0,52416.8,54052.8,53870.5,54955.4,58370.8,57807.8,58479.9,61242.2,58402.9,59186.9,60800.1,61352.9,60719.9,62135.4,61828.1,61740.5,61026.0,62165.5,63886.4,64131.7
 "25000","Massachusetts",1,SQGDP2,13,"321,327-339","     Durable goods manufacturing ","Millions of current dollars",28241.2,27323.1,27918.2,28659.9,28586.1,28709.2,28675.0,29536.5,31332.1,31962.2,32285.5,31290.3,29946.8,28941.5,28348.8,27577.2,26582.2,25788.8,26070.1,27094.8,28553.1,29745.3,31665.3,32641.9,31270.9,32106.2,29548.8,31679.0,31470.6,31765.1,31532.6,30854.2,30055.6,29847.7,30209.1,29623.4,29001.8,29530.2,30186.2,30352.0,30631.3,31136.7,30871.5,30852.1,31397.9,30597.0,32365.7,29577.8,29543.9,29134.1,28857.0,29589.4,29671.4,30177.0,30041.6,30470.6,30558.5,29935.3,29897.3,29498.0,28578.8,26104.5,29628.7,29500.3,30150.7,30218.1,30134.4,30542.7,30816.5,30115.2,29597.1,30519.9,29600.1,29923.2,30396.9,30287.5,29703.1,30197.5,30443.3,30186.4,29837.0,29966.5,30571.0,30821.7
 "25000","Massachusetts",1,SQGDP2,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of current dollars",10347.2,10096.2,10369.3,10603.7,11415.8,12255.0,12263.5,12086.1,12065.7,12586.9,12844.4,15203.0,12845.3,13370.9,13564.2,12667.0,13566.0,13856.7,14107.8,14570.4,14038.7,13892.2,13753.2,13269.5,12984.0,13805.9,13332.2,13161.5,13678.6,14385.6,14381.3,14675.2,14379.6,14850.9,15769.9,16539.0,16841.6,16911.8,17822.8,18714.8,19375.0,18802.0,18236.8,17958.8,17049.2,17519.5,17600.6,16916.6,16636.5,16896.2,17398.5,18113.3,19613.1,19723.7,19561.7,19342.7,18177.9,19064.8,19945.4,20490.3,21599.7,19503.6,21122.4,21208.7,22266.2,23834.7,23736.1,24412.7,27554.3,27692.6,28882.8,30722.3,28802.8,29263.7,30403.2,31065.4,31016.8,31937.9,31384.8,31554.1,31189.0,32199.0,33315.4,33309.9
 "25000","Massachusetts",1,SQGDP2,34,"42","   Wholesale trade ","Millions of current dollars",18231.9,18158.8,18663.6,18512.2,20792.3,19436.9,19822.4,19802.3,20550.7,20985.4,20908.3,20952.0,21489.7,22156.8,21921.1,21517.1,21266.8,20779.3,21346.2,21784.6,21583.5,22132.9,22721.8,22399.1,22152.5,22944.2,22825.2,23241.5,22763.8,23019.2,23070.6,22916.8,23571.4,23802.2,24232.4,24702.0,23733.9,24626.0,25292.7,25849.8,25366.7,26550.8,26257.2,26583.1,26147.4,26778.2,26742.4,26891.1,26673.4,27267.9,27060.9,28149.4,27031.7,26695.9,27380.7,27341.3,27784.4,27704.6,28138.4,28481.9,28969.3,26067.0,29377.0,29776.5,31044.0,31098.0,32612.0,31944.9,33976.4,34847.7,34527.8,35526.9,34754.6,35144.4,35317.7,35964.0,36161.0,36562.9,36693.1,36168.8,38207.8,41595.2,42911.2,44204.1
