GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "30000","Montana",7,SQGDP2,1,"...","All industry total ","Millions of current dollars",30216.5,30340.8,30936.7,31800.9,32071.8,32730.2,33531.9,34018.0,35206.1,36028.8,36327.7,36901.8,37041.7,37363.4,37375.7,36331.2,35836.9,35442.6,35983.1,36257.2,37558.7,37749.6,38198.9,38814.2,39810.9,40356.4,40661.0,41540.8,41988.8,41846.6,42262.6,42502.7,43341.4,43395.4,43759.6,43839.5,44249.4,45180.5,45526.4,45858.7,46259.8,46850.3,47005.2,46054.3,45342.2,45268.5,45852.3,46974.7,47635.7,48545.5,48700.6,49000.4,50663.4,51131.1,51194.7,51619.1,51861.5,52162.1,53275.5,53563.2,52633.0,49255.3,54402.5,55938.5,57666.0,59952.1,60687.5,62953.4,67034.1,68935.7,69613.4,70767.8,73122.7,73966.0,75512.5,76159.9,76607.8,77860.1,78848.6,80447.6,80653.0,81559.2,83185.6,84033.2
 "30000","Montana",7,SQGDP2,2,"..."," Private industries ","Millions of current dollars",25317.8,25474.6,26047.6,26857.4,26943.1,27592.0,28288.7,28721.7,29785.0,30535.0,30745.9,31312.6,31316.1,31634.5,31589.9,30443.6,29990.1,29525.5,29872.1,30220.9,31397.7,31495.5,32062.6,32691.4,33491.5,34039.0,34450.9,35179.1,35620.2,35413.0,35812.6,36037.7,36926.3,37001.1,37396.2,37356.3,37687.3,38525.5,38925.7,39076.6,39474.3,39954.2,40043.4,39263.6,38230.7,38206.0,38695.7,39718.3,40301.4,41232.5,41326.9,41598.2,43260.0,43673.0,43694.3,44167.9,44272.6,44522.6,45500.2,45742.5,44721.2,41428.5,46248.2,47793.6,49189.7,51493.3,52361.2,54566.2,58438.9,60468.7,61084.2,61991.8,64229.6,64763.7,66318.3,66758.3,67023.1,68181.9,69003.1,70435.8,70584.1,71466.5,72953.0,73782.1
 "30000","Montana",7,SQGDP2,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of current dollars",1108.7,1137.0,1207.2,1387.1,779.3,955.8,1016.0,983.6,1441.9,1263.3,1167.1,1227.5,1500.1,1439.8,1384.9,1249.7,1133.6,1104.1,1214.6,1398.2,1300.9,1362.0,1469.0,1611.4,1765.2,1604.6,1628.2,1546.4,1796.8,1629.2,1900.6,2015.5,2171.8,2252.5,2234.4,1832.9,2030.4,2303.6,1927.8,1845.1,2089.4,2058.5,1968.8,1815.2,1638.7,1751.3,1834.8,1919.8,1447.6,1510.5,1369.3,1207.2,1986.3,1848.2,1604.8,1491.9,1961.6,1892.9,1815.4,1748.3,1269.7,1373.8,1644.7,2553.4,1160.6,1744.9,1754.6,1093.3,3403.4,2976.5,2728.9,2576.4,3070.5,3136.8,2966.3,2660.1,2397.3,2474.8,2250.3,2470.4,2449.6,2525.9,2521.1,2560.4
 "30000","Montana",7,SQGDP2,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of current dollars",1205.1,1358.4,1483.0,1741.8,1728.7,1732.1,1823.7,1899.5,1872.2,2146.4,2067.7,2202.4,2198.7,2546.5,2667.2,2216.0,1878.9,1838.1,1920.6,2092.6,2382.1,2226.4,2137.8,2212.0,2587.3,2640.2,2643.8,2704.5,2676.5,2676.0,2795.5,2744.1,2905.7,2784.6,2799.1,2733.6,2704.8,2789.8,2601.0,2470.0,2047.4,2039.3,1890.6,1563.3,1318.5,1270.8,1296.8,1392.8,1510.8,1630.9,1549.2,1682.2,1706.2,1730.9,1697.2,1683.3,1551.9,1565.7,1652.3,1856.8,1875.8,1296.4,1813.4,1763.2,2119.5,2272.0,2117.4,2358.5,2465.1,3150.1,2635.3,2345.9,2376.4,2211.9,2585.7,2712.0,2551.6,2652.7,2613.3,2500.6,2395.5,2155.3,2152.2,2113.7
 "30000","Montana",7,SQGDP2,10,"22","   Utilities ","Millions of current dollars",659.6,635.7,710.4,702.7,751.0,715.5,791.0,762.6,766.7,796.8,853.2,820.9,788.0,849.5,905.3,878.4,979.1,914.2,920.2,951.8,961.5,930.7,1004.9,1037.6,969.0,1039.9,1091.0,1146.6,1000.7,1051.6,1029.7,1045.6,1069.5,1072.0,1041.3,1081.3,1125.3,1055.9,1045.0,1083.4,1110.1,1109.3,1089.6,1088.9,1026.1,1105.1,1139.7,1113.1,1123.7,1096.5,1124.6,1085.9,1047.4,1065.7,1066.8,1057.3,1107.6,1088.6,1184.0,1167.4,1158.9,1172.0,1173.9,1157.6,1181.0,1214.1,1214.2,1242.4,1155.1,1295.2,1438.9,1395.3,1393.6,1460.3,1448.0,1372.8,1350.5,1442.5,1370.5,1410.6,1458.3,1458.8,1542.6,1580.2
 "30000","Montana",7,SQGDP2,11,"23","   Construction ","Millions of current dollars",1976.8,2005.3,2107.3,2163.9,2231.2,2243.9,2303.9,2346.6,2564.5,2662.7,2620.0,2575.0,2494.2,2344.7,2349.4,2292.3,2273.5,2221.3,2155.2,2065.7,2008.4,1948.4,1959.2,1967.9,1843.7,1906.1,2012.2,2119.4,2068.9,2117.7,2102.2,2104.2,2183.5,2227.3,2165.2,2175.3,2236.8,2293.8,2355.1,2387.7,2491.3,2440.5,2576.8,2481.9,2583.3,2516.8,2576.9,2636.4,2702.0,2739.7,2632.8,2634.1,2674.4,2823.2,2818.4,3044.6,2984.9,2898.3,3076.5,3115.1,3179.0,3232.6,3295.9,3309.9,3550.6,3508.6,3582.6,3780.0,4138.3,4167.0,4392.9,4428.4,4552.2,4592.4,4645.6,4867.0,4944.7,4976.6,4996.4,4997.7,5059.8,5166.9,5239.2,5256.1
 "30000","Montana",7,SQGDP2,12,"31-33","   Manufacturing ","Millions of current dollars",1978.6,1926.7,1978.6,2015.8,1998.0,2085.8,2186.2,2369.7,2544.7,2811.5,2818.3,2740.9,2425.9,2255.3,2078.7,1792.2,1600.7,1511.2,1537.7,1619.5,1841.4,1799.3,1948.5,2133.7,2396.2,2551.0,2647.5,2686.7,2663.1,2611.6,2596.6,2603.4,2618.5,2515.4,2556.6,2654.5,2676.6,2782.6,3014.8,3086.5,3267.8,3282.1,3206.8,2836.3,2448.1,2148.4,2109.2,2313.5,2782.7,3213.2,3407.8,3604.3,3810.7,3812.3,3736.0,3691.9,3392.8,3136.2,2943.8,2743.8,2503.2,2178.3,2415.1,2402.2,2785.5,3091.9,3393.5,3918.8,4280.4,4644.6,4644.6,4805.5,4571.1,4488.2,4588.1,4562.4,4480.8,4470.2,4552.5,4574.2,4432.2,4488.8,4648.8,4637.6
 "30000","Montana",7,SQGDP2,13,"321,327-339","     Durable goods manufacturing ","Millions of current dollars",797.2,770.0,785.4,794.2,766.7,754.4,739.3,761.5,787.8,825.3,805.9,797.2,779.9,771.1,769.1,754.8,694.5,670.5,683.1,699.5,697.1,680.6,693.1,694.2,699.7,728.8,745.2,779.5,798.8,801.9,813.2,849.9,936.2,934.8,963.6,991.8,944.6,952.8,992.9,981.4,1024.7,1026.9,1053.2,1031.0,1090.5,1056.1,1047.2,1059.4,1061.6,1058.9,1047.5,1080.3,1074.3,1045.6,1051.3,1073.9,1070.3,1110.8,1115.3,1111.7,1122.0,1038.4,1226.4,1243.8,1394.4,1399.3,1405.4,1471.5,1590.6,1475.3,1528.5,1584.5,1558.8,1620.6,1654.4,1716.2,1669.4,1723.1,1726.4,1738.7,1728.4,1727.2,1768.9,1784.7
 "30000","Montana",7,SQGDP2,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of current dollars",1181.4,1156.6,1193.2,1221.6,1231.3,1331.4,1446.9,1608.2,1756.9,1986.1,2012.5,1943.7,1646.1,1484.2,1309.6,1037.4,906.2,840.8,854.5,920.0,1144.3,1118.8,1255.4,1439.5,1696.6,1822.2,1902.3,1907.3,1864.3,1809.7,1783.4,1753.5,1682.4,1580.6,1593.0,1662.7,1732.0,1829.8,2021.9,2105.1,2243.1,2255.2,2153.6,1805.3,1357.6,1092.2,1062.1,1254.1,1721.0,2154.2,2360.3,2524.0,2736.4,2766.7,2684.7,2618.0,2322.5,2025.4,1828.5,1632.0,1381.2,1139.9,1188.7,1158.4,1391.1,1692.6,1988.1,2447.4,2689.8,3169.4,3116.2,3221.0,3012.3,2867.6,2933.7,2846.2,2811.4,2747.1,2826.1,2835.5,2703.7,2761.5,2879.9,2852.9
 "30000","Montana",7,SQGDP2,34,"42","   Wholesale trade ","Millions of current dollars",1616.7,1612.2,1633.9,1672.5,1698.0,1749.3,1786.5,1821.4,1859.9,1871.0,1873.1,1902.2,1907.0,1939.7,1983.6,1991.0,1885.5,1849.3,1882.7,1882.6,1943.8,1988.8,2027.6,2005.4,2014.4,2051.0,2081.4,2198.4,2262.4,2291.0,2311.2,2354.8,2482.6,2467.0,2503.7,2531.9,2495.8,2557.9,2615.3,2541.5,2634.3,2662.5,2649.3,2681.2,2639.8,2629.5,2626.2,2613.9,2626.7,2684.4,2684.7,2710.7,2806.2,2810.4,2849.6,2945.1,2878.6,2933.4,3033.2,3032.9,2997.8,2817.0,3154.3,3169.1,3296.3,3404.3,3492.7,3603.8,3719.0,3818.0,3871.1,3961.9,4044.1,4049.7,4111.4,4137.7,4212.6,4266.2,4368.0,4505.0,4540.6,4852.1,5019.3,5189.7
