GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "31000","Nebraska",4,SQGDP2,1,"...","All industry total ","Millions of current dollars",72913.8,74076.2,75448.7,77108.0,77112.1,80392.7,79363.9,80281.1,83057.9,83743.9,84266.3,86099.6,85957.3,87298.1,86975.1,84355.8,86952.2,86067.7,87149.9,89132.2,89596.0,91619.2,92857.4,93690.3,99435.6,99868.0,100530.2,102272.4,101380.8,103143.5,103068.7,104205.6,107468.1,106793.3,107676.1,107050.4,110149.2,113344.6,113190.2,114369.2,115705.2,117457.5,118316.6,118130.0,117046.3,118451.0,120085.8,121976.3,121195.3,122976.1,123413.0,125295.1,127680.7,127340.3,127595.5,129201.0,129089.4,130856.1,134020.7,137426.7,135011.4,126533.6,137380.6,141132.5,144804.1,151079.6,153282.0,154644.5,162226.4,166155.0,170727.8,172251.5,181682.1,182304.9,184871.6,186265.0,186300.8,188962.0,189800.1,191907.7,193129.9,196276.2,200484.7,202402.4
 "31000","Nebraska",4,SQGDP2,2,"..."," Private industries ","Millions of current dollars",63127.9,64405.3,65720.1,67031.4,66645.9,69629.8,68491.3,69391.3,72218.0,73016.7,73459.7,75227.3,74734.2,75979.0,75587.5,72932.5,75694.1,74759.0,75519.3,77244.4,77102.4,78804.0,79884.3,80797.1,86386.7,86910.3,87744.7,89335.6,88364.6,90021.0,89952.4,91041.5,94449.5,93732.7,94566.5,93742.4,96535.3,99472.1,99228.3,100172.3,101614.3,103169.9,103927.0,103837.6,102185.8,103719.6,105178.9,106811.3,105999.8,107679.0,108050.6,109707.7,112010.8,111496.2,111555.0,113226.6,113004.9,114668.5,117539.0,120536.4,117875.2,109683.6,119974.1,123907.1,127273.3,133644.3,136022.6,137341.5,144249.4,148093.7,152576.8,153618.4,162976.7,163248.3,165681.9,166787.2,166437.5,168745.0,169289.6,171012.4,171791.2,174799.8,178847.6,180621.1
 "31000","Nebraska",4,SQGDP2,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of current dollars",4067.0,4190.9,4139.3,3939.3,2900.0,3945.2,3678.4,2862.9,6268.1,4761.0,4251.5,4590.6,6166.4,5941.9,5032.4,4306.9,4606.1,4632.6,4649.1,5797.4,4380.8,5110.2,6052.5,6740.6,10184.8,8932.3,9269.9,9468.4,7251.3,8074.2,6894.4,8076.0,10815.8,10863.0,9899.9,8840.6,8170.4,9662.8,8314.6,8376.4,7860.5,8191.0,8263.3,7498.3,6782.1,6982.4,7055.5,6782.5,5698.7,6068.6,4949.0,5294.8,7099.7,5636.2,4936.7,5598.8,6487.3,5939.4,6271.5,7233.2,6618.8,4257.3,5881.9,8912.8,7961.0,12311.1,12167.3,9442.8,9623.2,10756.8,11210.6,9289.4,13431.9,12184.4,12446.0,10809.3,9626.3,10328.4,8867.1,10201.3,10668.0,11157.7,11939.9,12228.2
 "31000","Nebraska",4,SQGDP2,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of current dollars",122.2,137.3,130.2,135.2,104.0,107.8,134.5,181.5,182.8,227.6,228.3,210.4,180.5,169.2,147.1,118.9,117.5,121.0,132.2,154.4,166.6,184.8,184.6,207.1,218.4,238.6,236.8,254.4,264.2,250.6,288.4,234.7,226.0,211.9,219.2,203.8,207.8,212.0,202.1,198.1,178.0,191.8,185.7,157.5,116.5,112.8,112.2,115.7,128.8,134.0,133.1,146.7,143.2,146.6,140.8,134.7,121.9,128.6,136.1,169.1,184.9,138.3,189.7,193.5,212.3,197.8,201.6,218.9,239.1,302.0,283.9,256.8,286.7,291.4,331.6,340.1,281.5,258.7,244.5,223.5,234.0,214.1,216.9,214.6
 "31000","Nebraska",4,SQGDP2,10,"22","   Utilities ","Millions of current dollars",616.0,559.3,561.9,561.5,707.9,740.8,776.2,771.3,933.7,997.3,1038.6,1044.6,1135.6,1362.6,1539.3,1559.6,1953.0,1812.4,1767.1,1868.0,2158.3,2164.8,2090.8,2048.1,2369.1,2610.3,2647.1,2587.5,2827.0,2828.4,2776.7,2763.8,2319.9,2454.9,2504.1,2528.2,2213.9,2208.6,2103.5,2086.8,2475.5,2474.5,2538.8,2532.5,3291.7,3183.8,3182.8,3250.8,2868.7,3074.6,3195.4,3463.9,2406.6,2424.3,2393.9,2407.9,2142.7,2177.8,2205.3,2198.6,1654.5,1730.1,1888.5,2006.7,2764.9,3148.3,3135.7,3432.2,4074.8,4693.5,4896.1,4884.1,7442.8,7453.5,7202.5,6841.1,6877.4,7023.1,6840.9,6810.5,6825.4,6931.4,7050.7,7009.3
 "31000","Nebraska",4,SQGDP2,11,"23","   Construction ","Millions of current dollars",3235.9,3204.2,3277.4,3194.6,3285.9,3289.3,3255.6,3384.7,3573.1,3628.3,3836.4,3668.0,3545.4,3511.5,3504.4,3580.5,3675.4,3702.7,4052.5,3814.5,3678.9,3736.0,3645.6,3699.2,3567.0,3676.5,3523.1,3503.3,3433.0,3277.6,3221.5,3378.0,3376.9,3514.8,3698.0,3644.7,3621.6,3749.5,3829.9,4081.4,4208.3,4248.9,4347.2,4445.6,4516.4,4520.5,4616.7,4748.7,5009.7,4997.2,5115.7,5223.0,5197.6,5280.4,5387.6,5478.2,5611.7,5803.4,6001.3,6147.8,6195.9,6341.0,6317.7,6468.0,6425.9,6490.2,6543.4,6737.8,6879.1,6986.5,7551.2,7813.4,8146.4,8532.1,8606.6,8880.7,8968.5,8939.4,9130.2,9271.6,9225.3,9194.4,9300.6,9396.1
 "31000","Nebraska",4,SQGDP2,12,"31-33","   Manufacturing ","Millions of current dollars",7834.9,7985.2,8395.4,8803.1,9369.6,9862.4,9288.5,9220.7,8982.0,9031.3,9127.8,9438.3,9270.2,9911.7,10422.3,10118.8,9983.4,10010.1,10283.2,10655.8,10550.8,10890.0,10896.8,11222.8,11532.8,11915.9,12314.7,12670.7,12462.8,12788.8,12976.1,12777.4,13422.1,13100.9,12975.0,13090.5,13104.1,12889.1,12759.6,12358.7,12472.9,12189.6,12386.9,12434.8,11907.7,12223.5,12324.5,11989.4,11864.1,11554.5,11825.3,12415.6,13324.3,13632.5,13805.0,13736.3,13627.1,13783.9,14133.2,14623.5,14540.6,14003.7,15532.6,15905.8,17777.1,17633.0,17772.6,17807.8,19003.5,18077.6,17925.4,18231.6,19084.4,19036.7,20054.7,20484.4,20145.3,20340.3,20286.9,20324.8,19506.9,19992.5,20477.0,20437.8
 "31000","Nebraska",4,SQGDP2,13,"321,327-339","     Durable goods manufacturing ","Millions of current dollars",4218.1,4284.3,4433.3,4502.2,4487.9,4727.6,4317.2,4467.4,4507.3,4615.4,4701.5,4748.3,4686.2,4747.0,4668.6,4493.4,4102.7,3833.8,3847.3,3924.0,4019.0,4293.8,4549.6,4877.5,5273.3,5487.1,5688.5,5794.7,5638.9,5740.5,5844.3,5973.4,6338.2,6281.4,6286.4,6200.1,5925.1,5578.4,5493.3,5298.9,5372.5,5361.3,5327.4,5232.9,5085.3,5047.4,5073.0,4977.4,5205.4,5164.7,5238.0,5403.4,5371.5,5358.1,5459.5,5498.7,5570.4,5752.7,5858.6,5929.7,5919.0,5289.5,6015.0,6214.6,6627.2,6390.8,6341.5,6742.6,6964.3,7164.5,7412.6,7373.0,7410.8,7298.5,7438.9,7560.0,7268.8,7539.1,7528.0,7542.5,7577.3,7596.9,7816.0,7791.2
 "31000","Nebraska",4,SQGDP2,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of current dollars",3616.8,3700.9,3962.1,4300.8,4881.7,5134.8,4971.3,4753.4,4474.7,4415.9,4426.3,4690.0,4584.0,5164.8,5753.7,5625.4,5880.7,6176.3,6435.9,6731.8,6531.8,6596.2,6347.2,6345.3,6259.5,6428.8,6626.2,6876.1,6823.9,7048.3,7131.8,6803.9,7083.9,6819.5,6688.6,6890.4,7179.1,7310.7,7266.3,7059.8,7100.4,6828.3,7059.5,7201.9,6822.3,7176.1,7251.4,7012.0,6658.7,6389.8,6587.2,7012.2,7952.8,8274.4,8345.4,8237.6,8056.7,8031.2,8274.6,8693.7,8621.6,8714.2,9517.6,9691.3,11149.9,11242.1,11431.1,11065.2,12039.2,10913.1,10512.8,10858.6,11673.6,11738.2,12615.7,12924.4,12876.6,12801.1,12758.9,12782.3,11929.6,12395.6,12661.0,12646.6
 "31000","Nebraska",4,SQGDP2,34,"42","   Wholesale trade ","Millions of current dollars",4430.2,4404.8,4416.0,4418.4,4570.5,4576.1,4608.3,4566.8,4732.0,4801.1,4824.5,4844.4,5291.0,5462.8,5588.6,5539.3,5552.2,5441.1,5512.5,5642.7,5819.8,5919.2,6070.1,5906.3,5715.4,6012.5,6120.1,6368.5,6431.5,6553.6,6601.4,6674.1,6832.6,6781.4,6975.1,7030.6,7286.6,7459.8,7655.0,7755.8,7770.4,7875.0,7810.4,7832.5,7641.1,7474.5,7516.3,7616.6,7373.8,7368.0,7482.6,7505.3,7926.2,7913.4,7955.9,8082.0,8138.2,8232.6,8565.5,8746.2,8452.8,7914.3,8831.9,8524.5,8884.3,8904.2,9030.3,9437.0,10490.3,10416.9,11117.0,11185.1,12158.0,11877.6,11870.7,12178.0,12226.0,12490.0,12608.0,12587.5,12757.0,13272.9,13389.0,13687.8
