GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "18000","Indiana",3,SQGDP8,1,"...","All industry total ","Quantity index",84.915,85.586,86.106,86.122,86.887,87.152,87.444,88.161,88.257,89.935,90.879,91.914,91.788,91.903,90.167,86.815,83.106,82.653,83.427,86.209,88.090,89.478,90.622,90.636,89.873,89.737,89.600,90.511,90.753,91.129,90.750,89.710,93.092,92.486,93.439,93.765,94.535,96.383,97.217,96.529,95.385,95.659,95.195,95.491,95.944,96.908,98.130,98.841,99.076,99.662,99.992,101.270,102.820,102.828,103.319,103.594,102.459,103.249,104.209,104.595,102.748,92.981,102.896,104.092,105.930,107.976,108.378,110.537,109.663,110.124,110.307,110.121,110.426,110.993,112.695,113.807,114.558,114.686,115.607,116.087,116.749,117.635,119.114,119.113
 "18000","Indiana",3,SQGDP8,2,"..."," Private industries ","Quantity index",83.904,84.295,84.722,84.396,84.640,84.582,84.885,86.010,86.843,89.102,90.384,91.544,91.112,91.095,89.079,85.514,81.528,81.070,81.919,84.921,87.094,88.639,90.132,89.919,89.479,89.030,88.808,89.973,90.286,90.814,90.404,89.428,93.343,92.772,93.789,94.008,94.567,96.386,97.254,96.474,95.430,95.748,95.141,95.573,95.983,96.948,98.188,98.970,99.119,99.712,99.979,101.190,102.985,102.839,103.383,103.744,102.681,103.515,104.437,104.745,102.773,92.430,103.184,104.584,106.838,109.024,109.540,111.746,110.814,111.162,111.338,111.230,111.562,112.152,113.989,115.100,115.880,116.032,116.962,117.465,118.112,119.211,120.802,120.936
 "18000","Indiana",3,SQGDP8,3,"11","   Agriculture, forestry, fishing and hunting ","Quantity index",62.050,65.576,66.685,72.755,82.556,80.791,73.104,79.626,81.829,76.072,74.326,81.616,104.048,99.592,89.666,99.709,86.787,87.540,104.696,115.609,88.218,89.940,91.130,87.581,104.459,91.530,98.320,93.025,84.380,94.378,82.661,69.572,139.221,139.681,128.300,128.854,102.399,109.671,102.028,109.175,77.987,84.256,93.825,104.813,108.383,109.758,104.679,95.668,114.353,98.006,92.376,95.265,87.560,103.813,115.431,115.471,76.860,79.925,93.641,87.471,(D),(D),(D),(D),117.603,149.260,154.377,137.424,(D),(D),(D),(D),152.562,137.862,131.368,125.709,139.017,132.963,134.965,136.232,141.916,126.869,126.435,128.955
 "18000","Indiana",3,SQGDP8,6,"21","   Mining, quarrying, and oil and gas extraction ","Quantity index",110.887,111.838,92.440,87.407,97.730,97.797,97.119,100.119,103.106,100.286,103.437,95.473,85.661,82.244,86.097,112.664,109.055,101.252,90.784,91.252,90.810,100.112,103.974,102.483,97.979,99.113,100.332,102.033,105.928,103.169,101.562,98.760,119.157,111.278,111.397,114.005,107.719,107.031,105.971,107.093,106.589,97.741,101.022,101.411,108.668,97.496,94.221,90.729,92.951,99.315,101.697,106.036,96.523,95.442,88.118,81.700,80.088,79.651,77.705,78.440,(D),(D),(D),(D),81.599,78.531,82.900,82.192,(D),(D),(D),(D),100.113,106.460,98.731,96.368,93.286,93.583,94.559,92.622,88.319,95.472,97.523,98.410
 "18000","Indiana",3,SQGDP8,10,"22","   Utilities ","Quantity index",75.496,75.748,79.955,82.235,75.644,87.922,83.319,80.611,75.788,78.645,80.405,80.317,83.367,91.474,90.600,78.720,80.494,79.205,82.129,87.773,91.600,93.072,100.298,98.876,92.614,101.042,97.756,105.277,100.406,103.330,106.646,103.463,105.927,103.215,103.437,103.189,100.682,99.407,100.921,98.986,94.906,96.434,98.276,100.327,99.117,102.879,107.168,107.385,102.036,98.828,99.798,99.337,99.310,97.834,95.033,96.298,95.099,98.830,98.236,105.327,101.142,103.709,103.633,101.010,90.892,96.026,100.066,99.034,98.280,98.550,93.964,92.808,91.695,102.137,94.156,96.705,97.462,97.925,98.146,98.952,98.089,92.725,97.114,95.684
 "18000","Indiana",3,SQGDP8,11,"23","   Construction ","Quantity index",105.647,103.896,101.179,100.649,99.490,95.463,94.170,93.821,94.666,98.360,96.880,94.956,91.050,90.843,91.745,87.129,78.341,76.506,75.816,72.343,72.261,76.194,76.612,75.803,75.358,79.597,83.270,86.269,90.014,92.549,92.307,91.517,93.745,89.661,87.454,86.689,84.223,85.691,85.777,86.840,85.115,87.951,88.352,88.871,90.292,91.722,92.269,96.306,99.841,98.825,99.734,101.599,101.872,101.953,103.413,103.677,105.229,105.526,105.888,106.168,104.963,102.838,107.814,109.896,111.192,110.613,110.777,107.223,108.181,104.463,100.621,102.357,103.166,105.172,106.643,108.464,113.226,112.223,113.886,116.088,117.300,117.765,117.858,118.527
 "18000","Indiana",3,SQGDP8,12,"31-33","   Manufacturing ","Quantity index",86.866,85.852,85.219,85.259,84.902,83.432,86.050,88.846,92.991,98.711,102.034,104.581,102.596,102.143,96.540,90.088,79.437,78.865,81.292,88.125,95.033,96.506,99.573,98.192,98.221,95.735,93.368,94.416,93.295,92.863,91.322,91.540,97.417,97.986,100.021,99.441,100.745,103.020,102.858,99.821,96.790,96.752,93.845,93.163,95.753,96.320,98.228,98.400,97.714,100.681,99.747,101.857,104.812,103.652,103.605,103.876,102.753,103.200,103.143,103.314,102.022,85.193,103.067,105.911,110.808,111.800,112.352,115.473,112.812,113.199,112.165,111.494,107.931,111.147,115.569,116.535,117.167,116.872,116.766,118.084,120.356,123.546,125.654,124.171
 "18000","Indiana",3,SQGDP8,13,"321,327-339","     Durable goods manufacturing ","Quantity index",79.421,78.879,78.134,80.169,79.243,78.912,79.683,81.233,85.648,89.283,91.909,90.622,87.890,86.421,80.944,73.190,58.862,55.345,58.798,67.296,76.875,85.987,91.664,90.164,89.174,84.182,82.389,83.941,87.315,87.784,87.294,89.299,91.389,91.272,92.329,92.454,90.315,92.064,94.014,93.874,95.357,99.099,96.666,97.349,99.057,99.065,99.785,99.654,99.978,98.326,100.066,101.631,106.274,105.265,105.929,106.651,106.057,107.794,107.023,106.794,106.896,81.254,106.320,110.477,113.091,116.232,116.573,119.529,120.384,121.880,118.062,116.416,114.187,114.677,116.340,115.790,114.380,115.461,113.663,114.039,113.840,116.252,118.616,118.818
 "18000","Indiana",3,SQGDP8,25,"311-316,322-326","     Nondurable goods manufacturing ","Quantity index",94.962,93.038,92.684,88.787,89.593,86.067,91.992,97.005,100.347,109.665,114.052,123.619,122.994,124.446,119.023,115.168,111.160,115.452,116.137,120.174,122.504,111.274,110.000,108.940,110.768,112.140,109.011,109.337,101.732,99.969,96.963,94.807,105.871,107.407,110.821,109.266,115.329,118.351,115.250,108.178,98.810,93.458,89.894,87.312,91.143,92.484,96.049,96.633,94.532,103.983,99.317,102.168,102.837,101.458,100.433,100.076,98.222,96.920,97.884,98.659,95.517,90.614,98.577,99.655,107.575,105.893,106.734,110.063,103.322,102.463,104.548,104.984,99.895,106.275,113.993,116.812,119.948,117.949,119.970,122.454,127.838,131.999,133.776,130.247
 "18000","Indiana",3,SQGDP8,34,"42","   Wholesale trade ","Quantity index",89.174,89.653,90.315,91.724,92.058,92.157,91.174,91.106,90.040,92.749,93.587,96.458,95.681,96.298,95.715,91.047,84.200,80.612,80.015,82.886,84.052,87.327,90.051,88.207,89.391,88.380,88.903,93.300,91.245,93.920,93.044,91.246,94.040,93.558,94.626,95.473,93.249,95.768,99.710,99.110,99.493,101.186,101.780,101.481,98.045,99.413,100.158,101.758,99.997,99.269,99.612,101.122,104.580,103.536,105.421,104.573,104.013,102.387,103.848,105.217,105.092,97.624,108.769,107.843,108.040,108.359,104.496,106.789,105.256,104.002,106.209,108.089,107.560,105.536,105.695,105.216,105.342,106.009,106.521,106.783,106.169,107.152,108.414,111.102
