GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "97000","Rocky Mountain",7,SQGDP8,1,"...","All industry total ","Quantity index",74.438,74.906,75.324,75.426,77.345,77.732,78.666,79.303,80.201,81.380,81.828,83.012,82.344,83.140,83.029,82.206,81.836,80.224,80.367,80.320,80.953,81.115,82.074,83.191,82.764,83.195,83.241,83.981,84.141,84.368,84.122,84.576,86.347,86.707,87.720,88.390,88.926,90.051,91.166,92.463,93.602,93.854,94.400,94.770,95.099,95.315,96.714,97.820,98.213,99.185,100.584,102.018,103.895,104.200,104.632,105.510,107.476,108.525,110.935,111.295,110.631,103.659,110.852,112.331,114.785,116.234,117.251,119.723,120.660,120.255,121.528,122.916,124.375,125.516,127.106,128.094,127.754,129.343,130.343,131.102,130.832,131.959,133.370,133.738
 "97000","Rocky Mountain",7,SQGDP8,2,"..."," Private industries ","Quantity index",72.198,72.760,73.279,73.279,75.502,75.934,76.922,77.706,78.815,80.091,80.585,81.744,80.846,81.677,81.408,80.588,80.237,78.379,78.544,78.578,79.078,79.326,80.533,81.896,81.256,81.738,81.928,82.656,82.931,83.215,82.871,83.465,85.491,85.908,87.095,87.898,88.365,89.566,90.875,92.349,93.553,93.834,94.304,94.786,94.927,95.176,96.607,97.701,98.106,99.127,100.627,102.140,104.432,104.680,105.147,106.182,108.426,109.455,112.025,112.313,111.469,104.006,112.148,113.841,116.317,118.163,119.189,121.937,122.759,122.343,123.598,125.119,126.676,127.864,129.605,130.417,129.950,131.765,132.994,133.850,133.436,134.906,136.494,137.266
 "97000","Rocky Mountain",7,SQGDP8,3,"11","   Agriculture, forestry, fishing and hunting ","Quantity index",92.792,94.473,92.243,93.518,87.525,103.341,93.030,79.339,99.113,87.786,83.340,78.067,88.943,83.887,81.205,87.182,85.331,85.177,97.077,95.606,87.916,96.054,96.257,92.898,96.901,87.020,86.762,92.220,91.603,81.776,84.797,83.425,78.621,91.030,91.049,92.479,93.953,96.819,96.731,96.973,115.036,112.990,112.020,105.651,116.831,118.099,122.239,123.529,(D),(D),(D),(D),122.534,123.176,110.644,107.136,124.754,122.269,118.137,118.745,(D),(D),(D),(D),101.902,99.815,94.396,98.795,125.769,109.510,106.252,105.300,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "97000","Rocky Mountain",7,SQGDP8,6,"21","   Mining, quarrying, and oil and gas extraction ","Quantity index",71.007,76.182,72.271,71.161,80.002,82.961,84.912,88.971,87.867,87.489,84.758,82.501,80.247,81.653,84.193,111.657,111.958,96.735,91.465,85.118,85.945,86.656,87.090,87.243,87.130,84.401,86.202,88.204,82.081,83.156,79.316,78.954,82.886,82.742,87.844,94.132,95.025,98.155,103.074,108.801,114.264,101.898,102.866,102.069,110.151,93.925,90.287,90.779,91.070,100.380,104.218,104.332,100.092,103.125,101.120,101.801,108.451,107.458,113.121,109.142,120.111,106.069,103.888,100.350,106.841,99.463,100.157,97.087,89.865,84.142,90.079,97.417,103.774,119.628,123.775,117.428,(D),(D),(D),(D),(D),(D),(D),(D)
 "97000","Rocky Mountain",7,SQGDP8,10,"22","   Utilities ","Quantity index",71.112,72.224,73.657,68.632,70.250,75.116,92.166,73.652,71.880,75.619,76.731,77.015,81.883,86.052,87.847,74.678,71.795,73.758,77.456,80.532,93.922,87.708,88.267,91.100,90.587,92.874,94.394,99.207,92.465,105.257,92.116,97.246,96.653,96.581,96.410,96.941,92.474,92.482,94.358,95.135,91.949,96.988,97.868,99.591,97.705,101.589,103.882,100.524,101.513,99.678,97.693,101.117,98.114,100.248,97.368,95.278,102.446,104.013,105.625,109.400,(D),(D),(D),(D),122.127,128.800,128.783,133.128,(D),(D),(D),(D),135.444,146.325,128.892,137.745,135.924,142.242,139.359,140.379,138.455,134.076,139.507,137.251
 "97000","Rocky Mountain",7,SQGDP8,11,"23","   Construction ","Quantity index",89.834,88.801,90.229,90.045,93.070,92.706,91.516,89.811,92.878,96.358,95.293,95.004,89.662,88.583,88.585,82.615,75.877,72.172,71.256,66.471,65.175,63.313,62.865,64.057,61.401,62.408,64.102,64.139,65.759,67.508,67.823,71.068,72.897,75.318,78.174,79.573,81.615,83.519,83.975,86.433,88.773,88.844,89.793,90.326,93.654,93.218,95.563,96.875,98.813,98.991,99.785,102.412,104.955,104.696,105.038,106.827,108.288,109.088,112.252,112.174,111.483,113.625,115.180,117.599,122.086,119.955,118.536,117.958,120.828,116.585,112.475,112.174,111.624,112.240,116.014,116.518,118.242,119.193,119.824,120.791,122.271,123.084,122.439,121.988
 "97000","Rocky Mountain",7,SQGDP8,12,"31-33","   Manufacturing ","Quantity index",70.158,71.641,74.228,74.640,76.063,76.154,77.365,79.788,82.256,84.223,87.078,89.836,87.116,91.320,90.938,87.917,86.761,88.803,92.734,95.240,95.066,93.553,95.865,98.166,95.606,96.371,96.311,95.275,93.055,92.397,89.151,88.989,91.504,92.054,92.694,92.307,90.525,92.662,94.779,95.766,97.921,96.944,96.381,94.939,95.929,93.408,93.978,92.087,(D),(D),(D),(D),104.504,106.357,107.884,111.143,109.823,110.784,113.669,113.892,112.063,105.192,112.943,115.643,116.498,117.461,117.152,121.668,(D),(D),(D),(D),(D),(D),(D),(D),117.673,121.398,121.791,122.673,120.215,123.625,124.848,123.374
 "97000","Rocky Mountain",7,SQGDP8,13,"321,327-339","     Durable goods manufacturing ","Quantity index",65.294,67.772,70.943,70.856,71.967,71.949,73.147,74.007,76.271,78.822,81.379,81.626,79.444,81.654,84.226,83.874,81.336,81.917,86.463,88.519,90.415,92.036,96.389,100.122,95.433,96.425,96.732,96.533,93.740,94.475,92.121,91.536,92.804,93.514,93.882,94.237,90.440,91.530,92.470,94.857,95.225,93.572,93.873,93.312,94.063,93.501,94.431,92.855,(D),(D),(D),(D),104.465,106.252,107.180,110.411,108.628,108.613,110.603,110.220,110.327,101.697,109.311,112.493,111.998,112.640,111.291,115.106,(D),(D),(D),(D),110.392,112.678,113.493,111.694,(D),(D),(D),(D),(D),(D),(D),(D)
 "97000","Rocky Mountain",7,SQGDP8,25,"311-316,322-326","     Nondurable goods manufacturing ","Quantity index",78.710,77.887,79.112,80.596,82.669,83.022,84.277,89.860,92.697,93.446,96.773,104.250,100.495,108.366,102.544,94.763,96.080,100.658,103.477,106.759,102.976,96.072,94.964,94.982,95.897,96.383,95.812,93.553,92.129,89.453,84.964,85.398,89.680,90.014,91.063,89.576,90.744,94.427,98.271,97.196,101.972,101.986,100.179,97.461,98.827,93.282,93.273,90.879,(D),(D),(D),(D),104.594,106.530,108.882,112.168,111.494,113.873,118.093,119.257,114.513,110.398,118.326,120.229,123.138,124.586,125.764,131.250,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "97000","Rocky Mountain",7,SQGDP8,34,"42","   Wholesale trade ","Quantity index",75.415,76.167,76.666,78.460,79.443,79.428,79.809,81.687,82.398,85.526,86.552,86.883,88.843,88.216,86.463,82.376,77.980,73.572,73.597,75.782,75.705,78.082,80.183,80.012,79.027,78.855,78.322,82.235,82.240,83.554,84.680,83.290,85.870,85.547,87.438,90.000,88.144,91.064,94.060,93.446,95.275,95.578,95.882,95.662,95.996,96.651,98.187,99.449,99.000,99.744,100.306,100.950,101.191,100.926,102.738,103.447,103.310,101.378,105.111,107.146,107.523,101.124,112.166,111.621,111.047,111.233,106.059,108.020,106.721,105.521,106.267,108.218,108.046,106.457,106.668,105.291,105.789,106.107,107.364,108.660,105.796,106.206,107.206,110.247
