GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "91000","New England",1,SQGDP9,1,"...","All industry total ","Millions of chained 2017 dollars",881853.3,885826.2,891549.2,898217.0,909670.4,911416.4,911214.0,925061.4,930055.7,934275.3,938907.3,941001.4,957726.1,957237.7,939371.8,910781.0,915415.6,913730.3,920993.6,929914.2,935678.1,947991.4,957652.1,954219.7,940841.4,961148.4,952455.3,964734.6,964981.5,971143.0,970855.2,967340.6,967160.6,964260.5,971150.0,973295.4,965464.1,975827.7,988007.8,1001685.1,1005159.6,1015077.9,1013176.9,1020935.5,1017233.4,1021432.3,1027905.1,1027726.2,1027397.1,1035201.7,1044459.4,1051123.5,1058146.8,1059945.5,1066168.4,1065651.3,1074603.2,1080024.5,1091180.5,1099086.7,1089692.9,998518.7,1074340.9,1093265.3,1095048.6,1121522.4,1134395.7,1145049.0,1138459.7,1144939.6,1145583.8,1162064.1,1154582.1,1159008.6,1167977.3,1177517.7,1177908.3,1187016.1,1193183.7,1191794.7,1197772.4,1209246.0,1221714.0,1224340.7
 "91000","New England",1,SQGDP9,2,"..."," Private industries ","Millions of chained 2017 dollars",771384.1,774352.1,779403.4,785312.0,797413.2,799178.9,798634.1,812139.4,816882.0,820104.6,824023.0,826159.0,841348.7,841029.8,823448.4,796003.1,802135.7,800351.7,808529.3,816229.8,824858.1,835493.2,845333.0,840608.5,826968.7,846207.5,837771.5,851789.7,853955.9,861350.6,861065.2,857979.9,856735.5,853746.4,861295.1,863850.0,855088.7,865579.9,877418.5,891548.0,895324.2,905229.9,902945.4,909904.5,908245.2,911225.9,917635.8,917351.1,916650.7,924432.2,933790.9,939687.9,947395.2,949120.7,954906.1,954732.1,964726.1,970097.1,980881.5,988789.8,980589.1,894350.0,969288.3,985990.5,990827.1,1015252.6,1028249.7,1037612.8,1033443.6,1037461.2,1037812.5,1056303.9,1048388.1,1053352.2,1061278.2,1069724.9,1069516.9,1079109.7,1084750.5,1082572.7,1088416.9,1100930.2,1113486.6,1117879.6
 "91000","New England",1,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",2815.1,2900.9,3303.6,3933.4,3479.1,3603.0,3380.5,3515.9,2981.6,3084.5,2972.7,2830.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2897.4,2440.5,2553.7,3077.2,(D),(D),(D),(D),(D),(D),(D),(D),2722.2,2819.7,2827.8,2713.7,2399.5,2507.0,2494.3,2578.2
 "91000","New England",1,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",827.5,832.5,679.5,644.6,762.7,761.3,774.7,846.2,915.4,905.7,881.3,798.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),624.4,576.1,565.3,495.4,(D),(D),(D),(D),(D),(D),(D),(D),786.8,854.6,896.3,921.6,882.5,924.1,938.4,958.6
 "91000","New England",1,SQGDP9,10,"22","   Utilities ","Millions of chained 2017 dollars",12431.4,12112.0,11914.8,11873.9,12693.7,13396.7,13683.2,13468.1,14863.5,14521.9,13643.1,12520.2,15531.5,16707.5,16488.4,14389.5,13359.1,12812.6,13422.5,14065.4,14519.4,15379.4,14694.2,14043.1,13224.6,14937.9,14357.1,14930.9,15399.7,15419.9,14805.1,14843.7,15917.3,15444.6,15620.7,14537.7,13727.4,14262.1,15363.9,16356.1,14041.1,15063.9,15296.9,14650.1,14203.8,14490.9,14443.2,14727.3,14258.3,15578.1,15004.3,15586.3,16606.3,15909.8,14561.6,14625.1,15021.1,15221.1,15797.2,17073.3,17333.4,17034.4,18645.3,17214.0,18171.9,18395.5,18924.7,19185.3,(D),(D),(D),(D),17483.7,19133.6,17382.1,18298.8,18085.7,18354.6,17900.8,18071.5,17770.3,17193.4,17750.2,17576.3
 "91000","New England",1,SQGDP9,11,"23","   Construction ","Millions of chained 2017 dollars",45637.2,45236.1,44561.8,44075.7,43973.5,42934.9,41816.4,40255.1,40123.1,40785.2,40369.3,38628.7,36885.3,36993.7,36489.5,34450.0,32387.8,32712.8,33698.8,33043.2,32191.2,32866.6,32273.2,31683.6,31448.0,32363.7,32158.6,33061.0,33628.7,33125.5,32929.4,33168.8,33440.8,33398.2,33543.4,32730.8,32520.5,32780.3,32791.8,33089.4,33081.3,34232.0,34709.1,35180.3,35950.1,35311.6,34946.8,35913.3,(D),(D),(D),(D),37304.9,37552.8,37232.2,37291.8,38777.3,38157.3,37942.3,37372.0,37775.0,32483.8,36669.5,37288.8,38330.3,38143.3,37635.1,35935.6,37098.4,35146.6,32900.7,33706.3,33421.0,33949.6,34652.3,35102.2,35495.9,35645.9,35519.2,35646.9,36032.7,36580.1,36471.8,36238.4
 "91000","New England",1,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2017 dollars",94105.6,91845.0,92715.6,96151.6,102735.1,104833.3,105208.4,107717.0,111797.2,111529.7,112144.3,113732.9,117805.4,116043.9,105412.4,96644.7,91986.8,89489.9,89949.2,92468.5,95687.5,98388.1,101972.4,100185.0,97374.8,100619.1,95951.2,99236.0,97866.8,99479.2,97682.4,97863.2,98207.1,98190.6,99481.0,99189.2,95040.6,97013.7,98830.0,102106.1,100820.7,101006.3,99719.3,98980.7,98539.8,95967.9,97802.4,94194.0,93763.9,95539.9,96539.0,100852.8,101550.6,102879.9,104011.7,104500.1,102856.6,103942.5,105498.4,105854.7,104463.3,95339.9,105859.2,107735.2,110099.2,110637.1,109787.2,110593.7,110668.9,107083.8,107694.6,109647.3,104799.8,106698.9,107436.3,108161.7,105275.0,108351.9,107971.1,107259.5,106663.6,109472.5,111019.1,110301.6
 "91000","New England",1,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2017 dollars",51002.9,49822.5,50894.5,53192.0,53806.6,55193.2,55246.2,56291.5,58023.5,59038.9,60587.4,60707.0,60200.1,60234.4,60226.3,57609.5,54330.7,53382.5,55008.8,56908.8,60201.4,63125.6,66727.2,67384.9,66228.9,67347.5,63532.5,66452.8,66503.4,66426.5,65919.1,65690.2,65965.0,64878.3,64962.6,64161.8,61849.1,62335.8,63132.0,64156.6,63697.9,64699.2,64541.6,64908.9,64394.5,63050.8,64694.1,62251.1,62304.3,62609.8,62722.0,64943.2,65897.7,66599.8,67719.5,68666.0,69413.6,69291.7,69348.0,68171.3,66181.3,59510.7,66476.2,69147.1,71512.8,72511.3,72371.7,71685.1,70620.8,68241.4,66559.1,67590.6,65942.8,66995.9,66900.9,66852.4,63687.3,65278.6,65342.6,64892.7,64645.5,65839.3,67645.5,67959.1
 "91000","New England",1,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2017 dollars",45235.4,44075.9,43568.6,44579.1,52118.3,52783.4,53192.0,54863.3,57535.2,55723.9,54275.8,56005.9,61509.8,59219.4,46834.2,40038.7,38735.2,37068.9,35669.7,36251.9,35923.1,35491.1,35289.4,32610.8,30897.9,33153.5,32384.5,32685.2,31162.9,32948.5,31615.0,32035.9,32102.1,33238.4,34501.5,35043.4,33186.9,34714.3,35749.4,38040.3,37197.0,36342.1,35191.2,34067.0,34147.7,32912.6,33099.2,31937.3,31454.5,32931.7,33820.5,35909.6,35664.4,36282.1,36286.6,35820.1,33430.5,34649.9,36163.8,37706.6,38300.1,35857.8,39417.8,38610.5,38640.5,38228.6,37550.7,38949.8,40008.6,38809.6,40951.2,41864.9,38752.2,39586.0,40396.5,41156.5,41415.5,42892.5,42446.0,42185.4,41836.2,43458.9,43195.4,42183.7
 "91000","New England",1,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2017 dollars",51499.4,51500.9,52174.2,52590.6,55569.9,52694.0,53385.7,53171.1,53400.2,55251.2,55334.5,55702.5,56553.9,56895.9,55730.9,53528.6,51172.4,48783.1,49590.8,51630.4,50913.9,52720.1,54534.8,53810.5,53098.1,52344.5,52056.6,54396.9,52846.4,54602.9,54011.9,52891.8,54251.3,53711.9,54262.5,54988.6,53195.5,54664.7,55841.2,55985.3,56383.9,57601.4,57231.9,56822.5,55412.5,56880.8,57094.5,56650.3,55753.3,55645.0,55197.0,55976.7,54889.4,53851.0,54568.7,53967.3,53471.8,52447.2,53571.4,53987.7,54890.5,50109.9,55951.6,55952.4,55633.8,54921.8,53627.7,52640.4,53369.4,52111.4,52093.1,53232.0,51567.5,51122.8,51098.5,50968.9,50700.6,50760.7,50492.9,50069.8,50887.5,51765.2,52415.5,53597.6
