GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
 "49000","Utah",7,SQGDP9,1,"...","All industry total ","Millions of chained 2017 dollars",115626.4,117105.1,119202.7,121786.5,124545.0,126446.9,128259.9,130905.8,131292.8,134396.2,134347.8,135162.4,133257.1,135279.8,134696.1,131418.5,131769.7,130762.0,130597.3,130705.6,132218.2,131972.1,134122.9,136643.0,136737.6,138525.2,138598.5,139342.9,140772.7,140451.3,139951.0,141315.0,143461.6,144263.1,146228.2,146154.7,148346.6,149794.9,150510.0,151653.7,153873.5,154869.4,155696.7,157286.3,159403.2,160605.9,163660.5,166443.4,167329.5,170125.5,173780.7,177064.4,178821.6,181231.0,183349.9,185021.5,190483.4,190145.5,194646.8,195766.6,193875.5,186834.3,197876.5,202706.4,207627.6,209930.8,211720.0,215879.4,216209.4,216946.1,218142.0,220097.8,222262.0,224519.7,228316.9,230189.8,231701.2,233829.6,235190.1,236481.4,238006.3,239908.5,242309.8,242922.9
 "49000","Utah",7,SQGDP9,2,"..."," Private industries ","Millions of chained 2017 dollars",97275.3,98696.7,100427.2,102790.8,105645.1,107101.6,109034.7,111710.8,112243.1,115199.0,115047.6,115459.7,113472.4,115540.0,114777.9,111611.9,112059.5,111004.5,111132.1,111398.8,112529.2,112203.9,114545.8,116917.7,116680.6,118273.5,118632.9,119269.8,121025.2,120865.7,120318.5,121950.0,124131.3,124996.0,126713.9,126959.4,128770.9,130038.4,130901.3,132198.7,134436.9,135484.6,136053.0,137636.1,139289.0,140545.3,143137.4,145615.3,146474.3,149046.0,152569.5,155616.0,157713.3,159906.6,162030.4,163736.6,169102.1,168499.8,172722.3,173580.7,171557.1,165199.6,176185.4,180824.2,185256.2,187952.3,189527.3,193552.5,193312.5,193993.9,194954.9,196764.3,198831.3,200850.9,203989.3,204941.2,206585.0,208746.2,210791.1,212603.9,213759.1,215775.8,218068.1,219181.0
 "49000","Utah",7,SQGDP9,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",658.3,675.9,674.7,675.8,537.5,700.2,617.3,480.5,627.2,520.5,488.9,433.2,536.1,504.2,483.2,498.1,390.4,422.8,486.6,497.9,595.0,634.6,604.2,536.1,674.1,595.4,588.5,623.5,613.5,566.1,555.3,498.8,624.1,702.3,703.0,742.4,734.1,784.4,829.5,828.5,943.8,939.9,951.1,859.0,925.9,903.0,895.2,829.0,876.5,910.6,819.4,830.9,988.2,991.3,891.1,867.1,1010.7,1017.8,957.3,995.3,979.9,818.7,1071.7,1055.7,911.1,825.3,805.3,947.3,1063.1,966.3,975.2,1054.6,973.7,927.3,912.9,900.5,903.7,986.7,1069.1,1037.0,989.7,922.8,962.4,1014.9
 "49000","Utah",7,SQGDP9,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",2298.1,2476.2,2434.2,2500.4,2741.6,2805.0,3016.5,3190.9,3142.6,3539.3,3119.6,2848.7,2658.8,2726.2,2941.0,3851.7,3950.5,3355.9,3207.7,3084.1,3096.3,3183.8,3258.4,3414.2,3308.4,3292.1,3333.1,3344.9,3253.7,3252.0,3100.1,3056.0,3253.4,3211.1,3353.8,3512.1,3689.3,3868.0,3971.7,4021.6,3790.8,3005.0,2989.4,3067.5,3362.1,2833.8,2885.0,2820.9,2916.8,3190.5,3378.4,3361.0,3174.2,3327.6,3149.0,3176.5,3363.4,3350.2,3500.1,3436.6,3857.3,3822.2,3914.0,3803.2,4059.9,3939.9,3878.8,3803.9,3451.9,3096.3,3176.9,3309.1,3386.1,3638.2,3767.0,3660.7,3543.9,3599.3,3482.7,3478.7,3434.0,3631.7,3632.2,3656.7
 "49000","Utah",7,SQGDP9,10,"22","   Utilities ","Millions of chained 2017 dollars",1255.6,1314.4,1483.1,1179.3,1325.3,1463.7,1354.4,1516.7,1339.2,1438.2,1508.7,1525.4,1557.9,1632.9,1674.2,1452.9,1389.3,1415.5,1492.1,1512.4,1730.4,1546.5,1586.3,1707.2,1622.8,1694.4,1804.6,1799.6,1809.6,1877.9,1894.6,1894.4,1919.5,1915.7,1912.6,1912.5,1796.4,1818.9,1900.3,1899.7,1950.0,2042.6,2066.3,1992.3,2218.0,2285.6,2270.2,2069.3,2292.5,2349.7,2252.4,2494.0,2396.7,2533.4,2498.5,2513.3,2762.1,2712.1,2804.4,2684.0,3668.1,3517.0,3616.9,3412.5,3970.5,4193.9,4306.9,4531.8,4600.3,4537.3,4402.1,4522.3,5328.1,5687.0,4905.6,5189.5,5129.5,5336.5,5317.0,5399.9,5330.0,5236.3,5361.0,5222.8
 "49000","Utah",7,SQGDP9,11,"23","   Construction ","Millions of chained 2017 dollars",8207.9,8167.6,8335.2,8303.1,8879.4,9134.8,9349.4,9526.6,10097.3,10323.5,10201.7,9946.9,9359.9,9198.4,8874.2,8026.2,7064.3,6750.8,6769.6,6426.4,6518.8,6408.3,6477.0,6734.0,6338.8,6294.7,6582.9,6605.2,7239.4,7448.2,7445.7,7888.1,7786.1,7884.5,8206.2,8067.1,8561.4,8669.5,8796.9,9136.0,9419.0,9566.5,9691.3,9940.5,10479.1,10381.5,10706.8,10831.6,11068.5,11293.5,11500.1,11926.8,12149.8,12155.8,12124.8,12194.1,12564.9,12631.3,13000.5,13380.4,13436.7,14142.6,14461.0,15043.5,16069.9,15226.4,14986.4,14781.5,15646.2,15077.3,14648.2,14762.3,14527.2,14804.2,15439.3,15301.3,15652.3,15769.9,15941.0,16130.4,16541.6,16651.9,16380.1,16355.6
 "49000","Utah",7,SQGDP9,12,"31-33","   Manufacturing ","Millions of chained 2017 dollars",11030.9,11324.7,11559.2,11977.3,12538.8,12554.4,13003.7,13403.3,13659.0,14115.1,14342.2,14386.7,13611.6,13988.3,14513.1,14987.3,15592.0,16889.1,17658.7,18406.5,18172.5,17920.3,18229.1,18510.0,18031.6,18179.7,18144.1,17512.7,16537.3,15973.8,15258.5,15401.7,16156.8,16496.6,16605.0,16269.3,15750.6,16074.4,16037.8,16287.0,16724.3,16843.3,16767.3,16527.4,16557.4,16037.9,16385.4,16458.2,17185.1,17573.0,18244.0,19141.7,18962.3,19368.1,19883.9,20299.4,20556.9,20630.9,20886.1,21100.5,20104.2,19097.4,20368.4,21700.9,22732.6,23294.1,23444.9,24175.0,22813.1,22378.4,22029.6,22099.6,21922.3,22339.5,23413.7,23539.1,23159.9,23855.5,24068.3,24260.2,23977.2,24708.3,24973.3,24669.2
 "49000","Utah",7,SQGDP9,13,"321,327-339","     Durable goods manufacturing ","Millions of chained 2017 dollars",6819.8,7129.3,7303.5,7591.5,7898.4,7955.6,8316.3,8556.3,8903.1,9180.3,9404.0,9306.1,8914.4,9150.6,9585.9,10030.7,10168.1,10772.0,11329.7,11717.2,11549.5,11561.6,11819.7,12010.1,11491.8,11665.3,11867.4,11621.1,11030.8,10924.9,10424.9,10377.5,10564.1,10520.1,10276.9,10132.1,9618.7,9813.1,10043.1,10227.1,10558.2,10710.3,10851.4,10822.2,10629.8,10374.4,10575.1,10620.3,11037.6,11019.6,11540.2,12260.1,12066.1,12212.5,12344.3,12237.1,12225.5,12030.7,12086.8,12389.8,12109.4,11445.1,12350.2,12926.8,13176.5,13703.6,13675.9,14258.3,13495.2,13738.9,13485.0,13518.3,13455.7,13676.0,14016.1,13892.0,13577.8,13670.9,13954.6,13953.3,14151.7,14498.2,14790.5,14726.3
 "49000","Utah",7,SQGDP9,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of chained 2017 dollars",4342.1,4282.2,4335.2,4461.0,4734.6,4677.9,4747.7,4914.7,4769.4,4955.7,4939.5,5113.2,4690.2,4832.9,4909.4,4928.9,5446.5,6159.1,6357.8,6730.1,6675.6,6389.4,6429.3,6516.1,6567.0,6538.0,6300.5,5919.0,5537.3,5091.2,4875.5,5055.5,5602.3,5974.9,6321.8,6133.4,6125.8,6255.8,5991.2,6055.8,6161.5,6129.2,5915.9,5706.6,5929.5,5662.0,5807.2,5832.5,6140.2,6552.5,6704.1,6889.4,6905.9,7158.7,7528.4,8028.1,8292.4,8561.3,8766.5,8681.7,7960.0,7618.0,7960.6,8723.1,9499.5,9529.8,9702.0,9867.3,9275.1,8693.3,8582.5,8614.2,8508.5,8698.4,9383.0,9606.5,9533.4,10109.9,10046.9,10233.3,9767.5,10147.7,10126.9,9896.7
 "49000","Utah",7,SQGDP9,34,"42","   Wholesale trade ","Millions of chained 2017 dollars",6417.9,6572.5,6566.2,6770.8,6839.3,6895.5,6910.0,7091.6,7204.6,7315.7,7398.8,7594.4,7567.7,7624.1,7564.8,7077.4,6739.2,6378.6,6320.8,6575.5,6493.8,6662.2,6813.8,6695.1,6641.1,6912.5,6742.3,7071.5,7033.6,7100.9,7255.1,7016.6,7244.8,7182.2,7262.3,7819.5,7415.0,7540.2,7877.3,7708.8,8057.6,8034.8,8049.1,7970.8,8346.6,8354.8,8619.4,8755.5,8771.0,8944.0,8865.0,9026.5,8989.2,8942.4,9173.4,9224.3,9299.2,8952.7,9194.0,9290.2,9707.9,9329.9,10571.7,10561.6,10144.5,9827.4,9421.9,9750.0,9539.7,9573.9,9757.9,10018.6,9915.6,9764.7,9724.7,9674.3,9780.4,9751.9,9984.7,10013.6,9945.3,9897.1,9917.2,10167.4
